fold,split,task_id,distances,distances_norm
fold_0,test,BigCodeBench/759,"[411, 246, 511]","[1.0, 0.5985401459854015, 1.24330900243309]"
fold_0,test,BigCodeBench/222,"[190, 167, 229]","[0.5177111716621253, 0.4550408719346049, 0.6239782016348774]"
fold_0,test,BigCodeBench/708,"[642, 596, 334]","[1.3155737704918034, 1.221311475409836, 0.6844262295081968]"
fold_0,test,BigCodeBench/604,"[719, 932, 572]","[1.533049040511727, 1.9872068230277184, 1.2196162046908317]"
fold_0,test,BigCodeBench/943,"[597, 645, 244]","[0.8565279770444764, 0.9253945480631277, 0.3500717360114778]"
fold_0,test,BigCodeBench/1025,"[285, 279, 304]","[0.5621301775147929, 0.5502958579881657, 0.5996055226824457]"
fold_0,test,BigCodeBench/350,"[1106, 738, 835]","[0.9744493392070485, 0.6502202643171806, 0.73568281938326]"
fold_0,test,BigCodeBench/780,"[825, 916, 669]","[0.78125, 0.8674242424242424, 0.6335227272727273]"
fold_0,test,BigCodeBench/804,"[239, 263, 295]","[0.37169517884914466, 0.40902021772939345, 0.45878693623639194]"
fold_0,test,BigCodeBench/781,"[238, 254, 366]","[0.6397849462365591, 0.6827956989247311, 0.9838709677419355]"
fold_0,test,BigCodeBench/560,"[663, 696, 692]","[0.6525590551181102, 0.6850393700787402, 0.6811023622047244]"
