fold,split,task_id,impl_index,distance,distance_norm
fold_0,test,BigCodeBench/582,3,380,0.7024029574861368
fold_0,test,BigCodeBench/348,1,1380,3.780821917808219
fold_0,test,BigCodeBench/348,2,436,1.1945205479452055
fold_0,test,BigCodeBench/348,3,328,0.8986301369863013
fold_0,test,BigCodeBench/886,1,261,0.5294117647058824
fold_0,test,BigCodeBench/886,2,387,0.7849898580121704
fold_0,test,BigCodeBench/886,3,626,1.2697768762677484
fold_0,test,BigCodeBench/779,1,954,0.6437246963562753
fold_0,test,BigCodeBench/779,2,896,0.6045883940620783
fold_0,test,BigCodeBench/779,3,869,0.5863697705802969
fold_0,test,BigCodeBench/241,1,185,0.3862212943632568
fold_0,test,BigCodeBench/241,2,288,0.6012526096033403
fold_0,test,BigCodeBench/241,3,251,0.524008350730689
fold_0,test,BigCodeBench/1097,1,196,0.1636060100166945
fold_0,test,BigCodeBench/1097,2,169,0.14106844741235391
fold_0,test,BigCodeBench/1097,3,173,0.14440734557595994
fold_0,test,BigCodeBench/763,1,1283,1.7894002789400278
fold_0,test,BigCodeBench/763,2,480,0.6694560669456067
fold_0,test,BigCodeBench/763,3,418,0.5829846582984658
fold_0,test,BigCodeBench/620,1,107,0.4053030303030303
fold_0,test,BigCodeBench/620,2,497,1.8825757575757576
fold_0,test,BigCodeBench/620,3,122,0.4621212121212121
fold_0,test,BigCodeBench/395,1,261,0.3367741935483871
fold_0,test,BigCodeBench/395,2,263,0.3393548387096774
fold_0,test,BigCodeBench/395,3,295,0.38064516129032255
fold_0,test,BigCodeBench/618,1,475,0.5214050493962679
fold_0,test,BigCodeBench/618,2,481,0.5279912184412733
fold_0,test,BigCodeBench/618,3,461,0.5060373216245884
fold_0,test,BigCodeBench/332,1,230,0.7443365695792881
fold_0,test,BigCodeBench/332,2,140,0.45307443365695793
fold_0,test,BigCodeBench/332,3,196,0.6343042071197411
fold_0,test,BigCodeBench/955,1,552,0.9701230228471002
fold_0,test,BigCodeBench/955,2,562,0.9876977152899824
fold_0,test,BigCodeBench/955,3,368,0.6467486818980668
fold_0,test,BigCodeBench/1041,1,672,0.8795811518324608
fold_0,test,BigCodeBench/1041,2,609,0.7971204188481675
fold_0,test,BigCodeBench/1041,3,556,0.7277486910994765
fold_0,test,BigCodeBench/413,1,801,1.1265822784810127
fold_0,test,BigCodeBench/413,2,742,1.0436005625879043
fold_0,test,BigCodeBench/413,3,476,0.6694796061884669
fold_0,test,BigCodeBench/93,1,553,0.9550949913644214
fold_0,test,BigCodeBench/93,2,570,0.9844559585492227
fold_0,test,BigCodeBench/93,3,387,0.6683937823834197
fold_0,test,BigCodeBench/900,1,347,0.43924050632911393
fold_0,test,BigCodeBench/900,2,340,0.43037974683544306
fold_0,test,BigCodeBench/900,3,687,0.8696202531645569
fold_0,test,BigCodeBench/997,1,89,0.2045977011494253
fold_0,test,BigCodeBench/997,2,99,0.22758620689655173
fold_0,test,BigCodeBench/997,3,118,0.271264367816092
fold_0,test,BigCodeBench/1039,1,504,0.5195876288659794
fold_0,test,BigCodeBench/1039,2,496,0.511340206185567
fold_0,test,BigCodeBench/1039,3,457,0.4711340206185567
fold_0,test,BigCodeBench/443,1,429,0.4953810623556582
fold_0,test,BigCodeBench/443,2,303,0.34988452655889146
fold_0,test,BigCodeBench/443,3,261,0.30138568129330257
fold_0,test,BigCodeBench/947,1,329,0.5384615384615384
